Movie,IMDB
12 Angry Men,tt0050083
12 Years a Slave,tt2024544
A Clockwork Orange,tt0066921
A Streetcar Named Desire,tt0044081
Airport,tt0065377
All That Jazz,tt0078754
Apocalypse Now,tt0078788
Argo,tt1024648
Around the World in 80 Days,tt0048960
Awakenings,tt0099077
Birdman,tt2562232
Butch Cassidy and the Sundance Kid,tt0064115
Cabaret,tt0068327
Doctor Dolittle,tt0061584
Fargo,tt0116282
Fatal Attraction,tt0093010
Forrest Gump,tt0109830
Giant,tt0049261
Good Will Hunting,tt0119217
Goodfellas,tt0099685
Gravity,tt1454468
Green Book,tt6966692
Indiana Jones and the Raiders of the Lost Ark,tt0082971
Jaws,tt0073195
Lawrence of Arabia,tt0056172
Mary Poppins,tt0058331
Midnight Cowboy,tt0064665
Moonlight,tt4975722
Moulin Rouge,tt0044926
Parasite,tt6751668
Pulp Fiction,tt0110912
Spotlight,tt1895587
Star Wars: Episode IV - A New Hope,tt0076759
Sunset Blvd.,tt0043014
Taxi Driver,tt0075314
The Apartment,tt0053604
The Artist,tt1655442
The Conversation,tt0071360
The Godfather Part II,tt0071562
The Godfather Part III,tt0099674
The Godfather,tt0068646
The Graduate,tt0061722
The Guns of Navarone,tt0054953
The Hustler,tt0054997
The King's Speech,tt1504320
The Shape of Water,tt5580390
The Shawshank Redemption,tt0111161
The Silence of the Lambs,tt0102926
The Towering Inferno,tt0072308
Unforgiven,tt0105695
